message,actual,predicted,spam_prob
in the simpsons movie released in july numtoken name the band that died at the start of the film a green day b blue day c red day send a b or c,spam,ham,0.013841833872391416
latest news police station toilet stolen cops have nothing to go on,spam,ham,0.03158370714059948
would you like to see my xxx pics they are so hot they were nearly banned in the uk,spam,ham,0.09319373507679263
babe u want me dont u baby im nasty and have a thing numtoken filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo msgs,spam,ham,0.11450664845873416
missed call alert these numbers called but left no message numtoken,spam,ham,0.20787074348344123
hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg day numtoken lucy x calls numtoken minmobsmorelkpobox hp fl,spam,ham,0.24474185177165497
burger king wanna play footy at a top stadium get numtoken burger king before st sept and go large or super with coca cola and walk out a winner,spam,ham,0.2864549037655781
xmas new years eve tickets are now on sale from the club during the day from am till pm and on thurs fri sat night this week they re selling fast,spam,ham,0.34416355176204333
asked mobile if numtoken chatlines inclu in free mins india cust servs sed yes l er got mega bill numtoken dont giv a shit bailiff due in days i o numtoken numtoken want numtoken,spam,ham,0.4110643528242574
check out choose your babe videos sms shsex netun fgkslpopw fgkslpo,spam,ham,0.45329147352639554
